estacion,anio,mes,codigo_estacion,departamento,trafico_total
BICENTENARIO,2010,,00006,CUNDINAMARCA,
CAJAMARCA,2010,,00007,TOLIMA,
CALAMAR,2010,,00008,BOLIVAR,
CARIMAGUA,2010,,00009,CORDOBA,
CISNEROS,2010,,00011,ANTIOQUIA,
CRUCERO,2010,,00012,BOYACA,
EL BORDO,2010,,00013,CAUCA,
EL DIFICIL,2010,,#N/D,MAGADALENA,
GALAPA,2010,,#N/D,ATLANTICO,
HONDA,2010,,00014,TOLIMA,
LA APARTADA,2010,,00015,CORDOBA,
LA CABAÑA,2010,,00016,CUNDINAMARCA,
LA ESPERANZA,2010,,00017,SUCRE,
LA GOMEZ,2010,,00046,SANTANDER,
LA LOMA,2010,,#N/D,CESAR,
LA PINTADA,2010,,00018,ANTIOQUIA,
LOS CAUCHOS,2010,,00019,HUILA,
LOS CEDROS,2010,,#N/D,CORDOBA,
LOS LLANOS,2010,,00020,ANTIOQUIA,
LOS PATIOS,2010,,#N/D,CUNDINAMARCA,
MACHETA,2010,,00021,CUNDINAMARCA,
MATA DE CAÑA,2010,,00022,CORDOBA,
MORRISON,2010,,00047,CESAR,
PICACHO,2010,,00024,SANTANDER,
PRIMAVERA,2010,,00025,ANTIOQUIA,
PUENTE PLATO,2010,,#N/D,MAGADALENA,
PUERTO BERRIO,2010,,00026,ANTIOQUIA,
PURGATORIO,2010,,#N/D,CORDOBA,
RIO BLANCO,2010,,00027,SANTANDER,
RIO FRIO,2010,,00028,VALLE DEL CAUCA,
RIO SOGAMOSO,2010,,00029,SANTANDER,
SACHICA,2010,,00030,BOYACA,
SAN JUAN,2010,,00032,LA GUAJIRA,
SAN ONOFRE,2010,,00033,SUCRE,
SAN PEDRO,2010,,00034,CASANARE,
SANCLEMENTE,2010,,#N/D,RISARALDA,
SUPIA,2010,,00035,CALDAS,
TARAZA,2010,,00036,ANTIOQUIA,
TORO,2010,,00037,VALLE DEL CAUCA,
VALENCIA,2010,,#N/D,CESAR,
ZAMBITO,2010,,00044,SANTANDER,
ACAPULCO,2010,,00001,CALDAS,
AGUAS NEGRAS,2010,,00045,SANTANDER,
ALTAMIRA,2010,,00002,HUILA,
ALVARADO,2010,,00003,TOLIMA,
AMAGA,2010,,00004,ANTIOQUIA,
ARCABUCO,2010,,00005,BOYACA,
BICENTENARIO,2010,,00006,CUNDINAMARCA,
CAJAMARCA,2010,,00007,TOLIMA,
CALAMAR,2010,,00008,BOLIVAR,
CARIMAGUA,2010,,00009,CORDOBA,
CISNEROS,2010,,00011,ANTIOQUIA,
CRUCERO,2010,,00012,BOYACA,
EL BORDO,2010,,00013,CAUCA,
EL DIFICIL,2010,,#N/D,MAGADALENA,
GALAPA,2010,,#N/D,ATLANTICO,
HONDA,2010,,00014,TOLIMA,
LA APARTADA,2010,,00015,CORDOBA,
LA CABAÑA,2010,,00016,CUNDINAMARCA,
LA ESPERANZA,2010,,00017,SUCRE,
LA GOMEZ,2010,,00046,SANTANDER,
LA LOMA,2010,,#N/D,CESAR,
LA PINTADA,2010,,00018,ANTIOQUIA,
LOS CAUCHOS,2010,,00019,HUILA,
LOS CEDROS,2010,,#N/D,CORDOBA,
LOS LLANOS,2010,,00020,ANTIOQUIA,
LOS PATIOS,2010,,#N/D,CUNDINAMARCA,
MACHETA,2010,,00021,CUNDINAMARCA,
MATA DE CAÑA,2010,,00022,CORDOBA,
MORRISON,2010,,00047,CESAR,
PICACHO,2010,,00024,SANTANDER,
PRIMAVERA,2010,,00025,ANTIOQUIA,
PUENTE PLATO,2010,,#N/D,MAGADALENA,
PUERTO BERRIO,2010,,00026,ANTIOQUIA,
PURGATORIO,2010,,#N/D,CORDOBA,
RIO BLANCO,2010,,00027,SANTANDER,
RIO FRIO,2010,,00028,VALLE DEL CAUCA,
RIO SOGAMOSO,2010,,00029,SANTANDER,
SACHICA,2010,,00030,BOYACA,
PUERTO BERRIO,2016,,00026,ANTIOQUIA,0.0
SAN JUAN,2010,,00032,LA GUAJIRA,
SAN ONOFRE,2010,,00033,SUCRE,
SAN PEDRO,2010,,00034,CASANARE,
SANCLEMENTE,2010,,#N/D,RISARALDA,
SUPIA,2010,,00035,CALDAS,
TARAZA,2010,,00036,ANTIOQUIA,
TORO,2010,,00037,VALLE DEL CAUCA,
VALENCIA,2010,,#N/D,CESAR,
ZAMBITO,2010,,00044,SANTANDER,
ACAPULCO,2010,,00001,CALDAS,
AGUAS NEGRAS,2010,,00045,SANTANDER,
ALTAMIRA,2010,,00002,HUILA,
ALVARADO,2010,,00003,TOLIMA,
AMAGA,2010,,00004,ANTIOQUIA,
ARCABUCO,2010,,00005,BOYACA,
BICENTENARIO,2010,,00006,CUNDINAMARCA,
CAJAMARCA,2010,,00007,TOLIMA,
CALAMAR,2010,,00008,BOLIVAR,
CARIMAGUA,2010,,00009,CORDOBA,
CISNEROS,2010,,00011,ANTIOQUIA,
CRUCERO,2010,,00012,BOYACA,
EL BORDO,2010,,00013,CAUCA,
EL DIFICIL,2010,,#N/D,MAGADALENA,
GALAPA,2010,,#N/D,ATLANTICO,
HONDA,2010,,00014,TOLIMA,
LA APARTADA,2010,,00015,CORDOBA,
LA CABAÑA,2010,,00016,CUNDINAMARCA,
LA ESPERANZA,2010,,00017,SUCRE,
LA GOMEZ,2010,,00046,SANTANDER,
LA LOMA,2010,,#N/D,CESAR,
LA PINTADA,2010,,00018,ANTIOQUIA,
LOS CAUCHOS,2010,,00019,HUILA,
LOS CEDROS,2010,,#N/D,CORDOBA,
LOS LLANOS,2010,,00020,ANTIOQUIA,
LOS PATIOS,2010,,#N/D,CUNDINAMARCA,
MACHETA,2010,,00021,CUNDINAMARCA,
MATA DE CAÑA,2010,,00022,CORDOBA,
MORRISON,2010,,00047,CESAR,
PICACHO,2010,,00024,SANTANDER,
PRIMAVERA,2010,,00025,ANTIOQUIA,
PUENTE PLATO,2010,,#N/D,MAGADALENA,
PUERTO BERRIO,2010,,00026,ANTIOQUIA,
PURGATORIO,2010,,#N/D,CORDOBA,
RIO BLANCO,2010,,00027,SANTANDER,
RIO FRIO,2010,,00028,VALLE DEL CAUCA,
RIO SOGAMOSO,2010,,00029,SANTANDER,
SACHICA,2010,,00030,BOYACA,
SAN JUAN,2010,,00032,LA GUAJIRA,
SAN ONOFRE,2010,,00033,SUCRE,
SAN PEDRO,2010,,00034,CASANARE,
SANCLEMENTE,2010,,#N/D,RISARALDA,
SUPIA,2010,,00035,CALDAS,
TARAZA,2010,,00036,ANTIOQUIA,
TORO,2010,,00037,VALLE DEL CAUCA,
VALENCIA,2010,,#N/D,CESAR,
ZAMBITO,2010,,00044,SANTANDER,
ACAPULCO,2010,,00001,CALDAS,
AGUAS NEGRAS,2010,,00045,SANTANDER,
ALTAMIRA,2010,,00002,HUILA,
ALVARADO,2010,,00003,TOLIMA,
AMAGA,2010,,00004,ANTIOQUIA,
ARCABUCO,2010,,00005,BOYACA,
BICENTENARIO,2010,,00006,CUNDINAMARCA,
CAJAMARCA,2010,,00007,TOLIMA,
CALAMAR,2010,,00008,BOLIVAR,
CARIMAGUA,2010,,00009,CORDOBA,
CISNEROS,2010,,00011,ANTIOQUIA,
CRUCERO,2010,,00012,BOYACA,
EL BORDO,2010,,00013,CAUCA,
EL DIFICIL,2010,,#N/D,MAGADALENA,
GALAPA,2010,,#N/D,ATLANTICO,
HONDA,2010,,00014,TOLIMA,
LA APARTADA,2010,,00015,CORDOBA,
LA CABAÑA,2010,,00016,CUNDINAMARCA,
LA ESPERANZA,2010,,00017,SUCRE,
LA GOMEZ,2010,,00046,SANTANDER,
LA LOMA,2010,,#N/D,CESAR,
LA PINTADA,2010,,00018,ANTIOQUIA,
LOS CAUCHOS,2010,,00019,HUILA,
LOS CEDROS,2010,,#N/D,CORDOBA,
LOS LLANOS,2010,,00020,ANTIOQUIA,
LOS PATIOS,2010,,#N/D,CUNDINAMARCA,
MACHETA,2010,,00021,CUNDINAMARCA,
MATA DE CAÑA,2010,,00022,CORDOBA,
MORRISON,2010,,00047,CESAR,
PICACHO,2010,,00024,SANTANDER,
PRIMAVERA,2010,,00025,ANTIOQUIA,
PUENTE PLATO,2010,,#N/D,MAGADALENA,
PUERTO BERRIO,2010,,00026,ANTIOQUIA,
PURGATORIO,2010,,#N/D,CORDOBA,
RIO BLANCO,2010,,00027,SANTANDER,
RIO FRIO,2010,,00028,VALLE DEL CAUCA,
RIO SOGAMOSO,2010,,00029,SANTANDER,
SACHICA,2010,,00030,BOYACA,
SAN JUAN,2010,,00032,LA GUAJIRA,
SAN ONOFRE,2010,,00033,SUCRE,
SAN PEDRO,2010,,00034,CASANARE,
SANCLEMENTE,2010,,#N/D,RISARALDA,
SUPIA,2010,,00035,CALDAS,
TARAZA,2010,,00036,ANTIOQUIA,
TORO,2010,,00037,VALLE DEL CAUCA,
VALENCIA,2010,,#N/D,CESAR,
ZAMBITO,2010,,00044,SANTANDER,
AMAGA,2011,,00004,ANTIOQUIA,161513.0
CISNEROS,2011,,00011,ANTIOQUIA,38710.0
LA PINTADA,2011,,00018,ANTIOQUIA,13869.0
LOS LLANOS,2011,,00020,ANTIOQUIA,117842.0
PRIMAVERA,2011,,00025,ANTIOQUIA,159054.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,34660.0
TARAZA,2011,,00036,ANTIOQUIA,104849.0
CALAMAR,2011,,00008,BOLIVAR,63918.0
ARCABUCO,2011,,00005,BOYACA,95317.0
CRUCERO,2011,,00012,BOYACA,71873.0
SACHICA,2011,,00030,BOYACA,84036.0
SAN CLEMENTE,2011,,00031,CALDAS,26778.0
SUPIA,2011,,00035,CALDAS,120490.0
SAN PEDRO,2011,,00034,CASANARE,74973.0
EL BORDO,2011,,00013,CAUCA,68506.0
LA LOMA,2011,,#N/D,CESAR,133665.0
VALENCIA,2011,,#N/D,CESAR,85614.0
CARIMAGUA,2011,,00009,CORDOBA,74300.0
LA APARTADA,2011,,00015,CORDOBA,133979.0
LOS CEDROS,2011,,#N/D,CORDOBA,42049.0
PURGATORIO,2011,,#N/D,CORDOBA,87017.0
MATA DE CAÑA,2011,,00022,CORDOBA,88621.0
BICENTENARIO,2011,,00006,CUNDINAMARCA,211943.0
LA CABAÑA,2011,,00016,CUNDINAMARCA,40902.0
LOS PATIOS,2011,,#N/D,CUNDINAMARCA,119213.0
MACHETA,2011,,00021,CUNDINAMARCA,54868.0
SAN JUAN,2011,,00032,GUAJIRA,131913.0
ALTAMIRA,2011,,00002,HUILA,83736.0
LOS CAUCHOS,2011,,00019,HUILA,148084.0
EL DIFICIL,2011,,#N/D,MAGDALENA,55584.0
PUENTE PLATO,2011,,#N/D,MAGDALENA,49681.0
CASETABLA,2011,,00010,META,
YUCAO,2011,,00038,META,
ACAPULCO,2011,,00001,RISARALDA,77567.0
PICACHO,2011,,00024,SANTANDER,69678.0
RIO BLANCO,2011,,00027,SANTANDER,87692.0
RIO SOGAMOSO,2011,,00029,SANTANDER,69114.0
LA ESPERANZA,2011,,00017,SUCRE,19175.0
SAN ONOFRE,2011,,00033,SUCRE,26242.0
ALVARADO,2011,,00003,TOLIMA,128384.0
CAJAMARCA,2011,,00007,TOLIMA,177501.0
HONDA,2011,,00014,TOLIMA,133434.0
RIO FRIO,2011,,00028,VALLE,25525.0
TORO,2011,,00037,VALLE,16850.0
AMAGA,2011,,00004,ANTIOQUIA,127819.0
CISNEROS,2011,,00011,ANTIOQUIA,30605.0
LA PINTADA,2011,,00018,ANTIOQUIA,10223.0
LOS LLANOS,2011,,00020,ANTIOQUIA,75599.0
PRIMAVERA,2011,,00025,ANTIOQUIA,103945.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,27122.0
TARAZA,2011,,00036,ANTIOQUIA,64470.0
CALAMAR,2011,,00008,BOLIVAR,51252.0
ARCABUCO,2011,,00005,BOYACA,55728.0
CRUCERO,2011,,00012,BOYACA,46335.0
SACHICA,2011,,00030,BOYACA,61055.0
SAN CLEMENTE,2011,,00031,CALDAS,17794.0
SUPIA,2011,,00035,CALDAS,80243.0
SAN PEDRO,2011,,00034,CASANARE,58005.0
EL BORDO,2011,,00013,CAUCA,45130.0
LA LOMA,2011,,#N/D,CESAR,100049.0
VALENCIA,2011,,#N/D,CESAR,68947.0
CARIMAGUA,2011,,00009,CORDOBA,52556.0
LA APARTADA,2011,,00015,CORDOBA,90514.0
LOS CEDROS,2011,,#N/D,CORDOBA,35751.0
PURGATORIO,2011,,#N/D,CORDOBA,62401.0
MATA DE CAÑA,2011,,00022,CORDOBA,51297.0
BICENTENARIO,2011,,00006,CUNDINAMARCA,124170.0
LA CABAÑA,2011,,00016,CUNDINAMARCA,32411.0
LOS PATIOS,2011,,#N/D,CUNDINAMARCA,108116.0
MACHETA,2011,,00021,CUNDINAMARCA,33527.0
SAN JUAN,2011,,00032,GUAJIRA,122666.0
ALTAMIRA,2011,,00002,HUILA,64254.0
LOS CAUCHOS,2011,,00019,HUILA,119886.0
EL DIFICIL,2011,,#N/D,MAGDALENA,46943.0
PUENTE PLATO,2011,,#N/D,MAGDALENA,42498.0
CASETABLA,2011,,00010,META,
YUCAO,2011,,00038,META,
ACAPULCO,2011,,00001,RISARALDA,56893.0
PICACHO,2011,,00024,SANTANDER,55203.0
RIO BLANCO,2011,,00027,SANTANDER,78004.0
RIO SOGAMOSO,2011,,00029,SANTANDER,96194.0
LA ESPERANZA,2011,,00017,SUCRE,40554.0
SAN ONOFRE,2011,,00033,SUCRE,22353.0
ALVARADO,2011,,00003,TOLIMA,94279.0
CAJAMARCA,2011,,00007,TOLIMA,108654.0
HONDA,2011,,00014,TOLIMA,92088.0
RIO FRIO,2011,,00028,VALLE,21381.0
TORO,2011,,00037,VALLE,15787.0
AMAGA,2011,,00004,ANTIOQUIA,143958.0
CISNEROS,2011,,00011,ANTIOQUIA,35115.0
LA PINTADA,2011,,00018,ANTIOQUIA,12679.0
LOS LLANOS,2011,,00020,ANTIOQUIA,87407.0
PRIMAVERA,2011,,00025,ANTIOQUIA,130418.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,30954.0
TARAZA,2011,,00036,ANTIOQUIA,74337.0
CALAMAR,2011,,00008,BOLIVAR,60250.0
ARCABUCO,2011,,00005,BOYACA,68533.0
CRUCERO,2011,,00012,BOYACA,60786.0
SACHICA,2011,,00030,BOYACA,64188.0
SAN CLEMENTE,2011,,00031,CALDAS,21381.0
SUPIA,2011,,00035,CALDAS,104725.0
SAN PEDRO,2011,,00034,CASANARE,66529.0
EL BORDO,2011,,00013,CAUCA,57405.0
LA LOMA,2011,,#N/D,CESAR,125971.0
VALENCIA,2011,,#N/D,CESAR,76202.0
CARIMAGUA,2011,,00009,CORDOBA,60328.0
LA APARTADA,2011,,00015,CORDOBA,102096.0
LOS CEDROS,2011,,#N/D,CORDOBA,41889.0
PURGATORIO,2011,,#N/D,CORDOBA,70149.0
MATA DE CAÑA,2011,,00022,CORDOBA,59409.0
BICENTENARIO,2011,,00006,CUNDINAMARCA,147051.0
LA CABAÑA,2011,,00016,CUNDINAMARCA,36422.0
LOS PATIOS,2011,,#N/D,CUNDINAMARCA,119811.0
MACHETA,2011,,00021,CUNDINAMARCA,37955.0
SAN JUAN,2011,,00032,GUAJIRA,135490.0
ALTAMIRA,2011,,00002,HUILA,71332.0
LOS CAUCHOS,2011,,00019,HUILA,131698.0
EL DIFICIL,2011,,#N/D,MAGDALENA,56149.0
PUENTE PLATO,2011,,#N/D,MAGDALENA,50211.0
CASETABLA,2011,,00010,META,46475.0
YUCAO,2011,,00038,META,
ACAPULCO,2011,,00001,RISARALDA,63302.0
PICACHO,2011,,00024,SANTANDER,63141.0
RIO BLANCO,2011,,00027,SANTANDER,79810.0
RIO SOGAMOSO,2011,,00029,SANTANDER,119846.0
LA ESPERANZA,2011,,00017,SUCRE,51135.0
SAN ONOFRE,2011,,00033,SUCRE,27511.0
ALVARADO,2011,,00003,TOLIMA,108652.0
CAJAMARCA,2011,,00007,TOLIMA,147804.0
HONDA,2011,,00014,TOLIMA,103485.0
RIO FRIO,2011,,00028,VALLE,24814.0
TORO,2011,,00037,VALLE,17026.0
AMAGA,2011,,00004,ANTIOQUIA,117163.0
CISNEROS,2011,,00011,ANTIOQUIA,37897.0
LA PINTADA,2011,,00018,ANTIOQUIA,14294.0
LOS LLANOS,2011,,00020,ANTIOQUIA,95203.0
PRIMAVERA,2011,,00025,ANTIOQUIA,127348.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,34477.0
TARAZA,2011,,00036,ANTIOQUIA,83926.0
CALAMAR,2011,,00008,BOLIVAR,62250.0
ARCABUCO,2011,,00005,BOYACA,81504.0
CRUCERO,2011,,00012,BOYACA,62858.0
SACHICA,2011,,00030,BOYACA,45213.0
SAN CLEMENTE,2011,,00031,CALDAS,19158.0
SUPIA,2011,,00035,CALDAS,99290.0
SAN PEDRO,2011,,00034,CASANARE,68770.0
EL BORDO,2011,,00013,CAUCA,56028.0
LA LOMA,2011,,#N/D,CESAR,129273.0
VALENCIA,2011,,#N/D,CESAR,80365.0
CARIMAGUA,2011,,00009,CORDOBA,64492.0
LA APARTADA,2011,,00015,CORDOBA,112737.0
LOS CEDROS,2011,,#N/D,CORDOBA,42756.0
PURGATORIO,2011,,#N/D,CORDOBA,75602.0
MATA DE CAÑA,2011,,00022,CORDOBA,73162.0
BICENTENARIO,2011,,00006,CUNDINAMARCA,80340.0
LA CABAÑA,2011,,00016,CUNDINAMARCA,33919.0
LOS PATIOS,2011,,#N/D,CUNDINAMARCA,108186.0
MACHETA,2011,,00021,CUNDINAMARCA,41560.0
SAN JUAN,2011,,00032,GUAJIRA,139949.0
ALTAMIRA,2011,,00002,HUILA,71784.0
LOS CAUCHOS,2011,,00019,HUILA,128980.0
EL DIFICIL,2011,,#N/D,MAGDALENA,55333.0
PUENTE PLATO,2011,,#N/D,MAGDALENA,49524.0
CASETABLA,2011,,00010,META,57405.0
YUCAO,2011,,00038,META,26201.0
ACAPULCO,2011,,00001,RISARALDA,61406.0
PICACHO,2011,,00024,SANTANDER,46286.0
RIO BLANCO,2011,,00027,SANTANDER,85102.0
RIO SOGAMOSO,2011,,00029,SANTANDER,126022.0
LA ESPERANZA,2011,,00017,SUCRE,76216.0
SAN ONOFRE,2011,,00033,SUCRE,36261.0
ALVARADO,2011,,00003,TOLIMA,138199.0
CAJAMARCA,2011,,00007,TOLIMA,161142.0
HONDA,2011,,00014,TOLIMA,125279.0
RIO FRIO,2011,,00028,VALLE,21824.0
TORO,2011,,00037,VALLE,15277.0
AMAGA,2011,,00004,ANTIOQUIA,123248.0
CISNEROS,2011,,00011,ANTIOQUIA,33300.0
LA PINTADA,2011,,00018,ANTIOQUIA,11121.0
LOS LLANOS,2011,,00020,ANTIOQUIA,82956.0
PRIMAVERA,2011,,00025,ANTIOQUIA,119666.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,29486.0
TARAZA,2011,,00036,ANTIOQUIA,70808.0
CALAMAR,2011,,00008,BOLIVAR,55819.0
ARCABUCO,2011,,00005,BOYACA,64278.0
CRUCERO,2011,,00012,BOYACA,57294.0
SACHICA,2011,,00030,BOYACA,46288.0
SAN CLEMENTE,2011,,00031,CALDAS,19758.0
SUPIA,2011,,00035,CALDAS,96150.0
SAN PEDRO,2011,,00034,CASANARE,66290.0
EL BORDO,2011,,00013,CAUCA,53032.0
LA LOMA,2011,,#N/D,CESAR,122254.0
VALENCIA,2011,,#N/D,CESAR,74327.0
CARIMAGUA,2011,,00009,CORDOBA,59418.0
LA APARTADA,2011,,00015,CORDOBA,99631.0
LOS CEDROS,2011,,#N/D,CORDOBA,38745.0
PURGATORIO,2011,,#N/D,CORDOBA,68730.0
MATA DE CAÑA,2011,,00022,CORDOBA,55557.0
BICENTENARIO,2011,,00006,CUNDINAMARCA,2591.0
LA CABAÑA,2011,,00016,CUNDINAMARCA,33329.0
LOS PATIOS,2011,,#N/D,CUNDINAMARCA,119548.0
MACHETA,2011,,00021,CUNDINAMARCA,35316.0
SAN JUAN,2011,,00032,GUAJIRA,140941.0
ALTAMIRA,2011,,00002,HUILA,69747.0
LOS CAUCHOS,2011,,00019,HUILA,134893.0
EL DIFICIL,2011,,#N/D,MAGDALENA,55738.0
PUENTE PLATO,2011,,#N/D,MAGDALENA,50262.0
CASETABLA,2011,,00010,META,54690.0
YUCAO,2011,,00038,META,44733.0
ACAPULCO,2011,,00001,RISARALDA,60975.0
PICACHO,2011,,00024,SANTANDER,40082.0
RIO BLANCO,2011,,00027,SANTANDER,86129.0
RIO SOGAMOSO,2011,,00029,SANTANDER,120734.0
LA ESPERANZA,2011,,00017,SUCRE,66766.0
SAN ONOFRE,2011,,00033,SUCRE,31875.0
ALVARADO,2011,,00003,TOLIMA,166809.0
CAJAMARCA,2011,,00007,TOLIMA,149611.0
HONDA,2011,,00014,TOLIMA,168458.0
RIO FRIO,2011,,00028,VALLE,23050.0
TORO,2011,,00037,VALLE,14642.0
AMAGA,2011,,00004,ANTIOQUIA,148188.0
CISNEROS,2011,,00011,ANTIOQUIA,36919.0
LA PINTADA,2011,,00018,ANTIOQUIA,14452.0
LOS LLANOS,2011,,00020,ANTIOQUIA,90221.0
PRIMAVERA,2011,,00025,ANTIOQUIA,138102.0
PUERTO BERRIO,2011,,00026,ANTIOQUIA,32303.0
TARAZA,2011,,00036,ANTIOQUIA,79163.0
CALAMAR,2011,,00008,BOLIVAR,56580.0
